repository_owner,repository_uri,overall_score,quality_score,maintainability_score,popularity_score,style_errors_per_nloc,security_notes_per_nloc,security_warnings_per_nloc,security_errors_per_nloc,subscribers_count_by_age,stargazers_count_by_age,forks_count_by_age,average_cyclomatic_complexity_for_repo_pct
cmdbug_YOLOv5_NCNN,https://github.com/cmdbug/YOLOv5_NCNN,47.7,98.71,36.74,7.67,0.014,0.001,0.0,0.0,0.04,1.57,0.36,1.62
NVIDIAGameWorks_nvrhi,https://github.com/NVIDIAGameWorks/nvrhi,47.45,98.62,31.59,12.14,0.008,0.002,0.0,0.0,0.15,1.78,0.15,3.7
mitsuba-renderer_mitsuba2,https://github.com/mitsuba-renderer/mitsuba2,47.42,98.94,34.07,9.24,0.006,0.003,0.0,0.0,0.07,1.97,0.25,2.49
facebookresearch_habitat-sim,https://github.com/facebookresearch/habitat-sim,47.41,96.78,38.64,6.81,0.04,0.003,0.0,0.0,0.05,1.28,0.25,2.23
heremaps_gluecodium,https://github.com/heremaps/gluecodium,47.37,98.24,43.16,0.71,0.025,0.0,0.0,0.0,0.01,0.1,0.01,0.66
ananevilia_Arduino-ST7789-Library,https://github.com/ananevilia/Arduino-ST7789-Library,47.26,97.6,43.88,0.31,0.037,0.0,0.0,0.0,0.0,0.08,0.03,0.0
vshymanskyy_TinyGSM,https://github.com/vshymanskyy/TinyGSM,47.24,99.04,37.38,5.32,0.002,0.009,0.0,0.0,0.04,0.74,0.27,1.57
urho3d_Urho3D,https://github.com/urho3d/Urho3D,47.09,96.26,35.85,9.15,0.045,0.004,0.0,0.0,0.09,1.25,0.31,2.94
lemmingDev_ESP32-BLE-Gamepad,https://github.com/lemmingDev/ESP32-BLE-Gamepad,46.93,95.21,43.28,2.32,0.072,0.002,0.0,0.0,0.02,0.4,0.08,0.0
vectorclass_version2,https://github.com/vectorclass/version2,46.92,98.81,37.03,4.9,0.016,0.0,0.0,0.0,0.05,0.86,0.1,0.74
MHeironimus_ArduinoJoystickLibrary,https://github.com/MHeironimus/ArduinoJoystickLibrary,46.88,98.25,37.7,4.67,0.021,0.002,0.0,0.0,0.05,0.62,0.14,1.34
nathanRamaNoodles_Noodle-Synth,https://github.com/nathanRamaNoodles/Noodle-Synth,46.8,96.83,42.89,0.67,0.048,0.001,0.0,0.0,0.01,0.08,0.01,0.0
cycfi_artist,https://github.com/cycfi/artist,46.77,98.79,40.02,1.51,0.015,0.001,0.0,0.0,0.02,0.21,0.02,0.89
thomasfredericks_Bounce2,https://github.com/thomasfredericks/Bounce2,46.65,97.39,40.97,1.59,0.021,0.017,0.0,0.0,0.02,0.15,0.05,1.34
f1xpl_openauto,https://github.com/f1xpl/openauto,46.63,95.68,32.74,11.45,0.057,0.007,0.0,0.0,0.14,1.36,0.25,1.06
LX3JL_xlxd,https://github.com/LX3JL/xlxd,46.59,97.99,40.46,1.31,0.009,0.012,0.0,0.001,0.02,0.05,0.04,1.85
EOSIO_eosio.contracts,https://github.com/EOSIO/eosio.contracts,46.56,98.95,35.13,5.61,0.012,0.001,0.0,0.0,0.06,0.24,0.32,1.06
netwarm007_GameEngineFromScratch,https://github.com/netwarm007/GameEngineFromScratch,46.55,98.53,34.8,6.31,0.013,0.002,0.0,0.0,0.08,0.72,0.13,2.53
souffle-lang_souffle,https://github.com/souffle-lang/souffle,46.49,95.92,41.6,1.94,0.003,0.004,0.001,0.001,0.02,0.25,0.07,2.15
gaoxiang12_slambook2,https://github.com/gaoxiang12/slambook2,46.49,97.19,29.72,12.56,0.024,0.008,0.0,0.0,0.05,1.97,0.88,3.94
google_spherical-harmonics,https://github.com/google/spherical-harmonics,46.47,99.67,38.75,1.0,0.003,0.0,0.0,0.0,0.01,0.17,0.03,0.66
leoetlino_project-restoration,https://github.com/leoetlino/project-restoration,46.42,99.24,37.23,2.81,0.006,0.0,0.0,0.0,0.03,0.56,0.03,1.85
baidu_bigflow,https://github.com/baidu/bigflow,46.4,99.4,35.07,4.72,0.005,0.001,0.0,0.0,0.05,0.74,0.11,1.09
xtensor-stack_xsimd,https://github.com/xtensor-stack/xsimd,46.38,98.96,37.06,3.1,0.011,0.001,0.0,0.0,0.03,0.57,0.07,1.32
InsightSoftwareConsortium_ITK,https://github.com/InsightSoftwareConsortium/ITK,46.36,97.4,39.38,2.3,0.022,0.004,0.0,0.0,0.02,0.23,0.13,4.68
amule-project_amule,https://github.com/amule-project/amule,46.34,98.04,38.28,2.71,0.02,0.003,0.0,0.0,0.03,0.35,0.08,2.43
intel_intel-graphics-compiler,https://github.com/intel/intel-graphics-compiler,46.34,99.16,36.9,2.95,0.006,0.001,0.0,0.0,0.04,0.26,0.07,1.98
iwatake2222_self-driving-ish_computer_vision_system,https://github.com/iwatake2222/self-driving-ish_computer_vision_system,46.33,97.12,33.36,8.51,0.012,0.011,0.0,0.002,0.07,1.49,0.29,3.68
ztsec_xtp_api_python,https://github.com/ztsec/xtp_api_python,46.31,94.59,42.39,1.95,0.079,0.002,0.0,0.0,0.02,0.19,0.09,0.83
Nadrin_PBR,https://github.com/Nadrin/PBR,46.29,99.13,37.36,2.38,0.009,0.002,0.0,0.0,0.02,0.53,0.05,0.83
spalx_cocos2d-x-extensions,https://github.com/spalx/cocos2d-x-extensions,46.26,97.62,40.99,0.16,0.033,0.0,0.0,0.0,0.0,0.04,0.02,1.21
smrtnt_Itead_Sonoff,https://github.com/smrtnt/Itead_Sonoff,46.25,98.32,39.73,0.7,0.024,0.0,0.0,0.0,0.01,0.06,0.02,0.62
ivansafrin_Polycode,https://github.com/ivansafrin/Polycode,46.25,97.72,36.85,4.18,0.027,0.004,0.0,0.0,0.05,0.58,0.08,1.49
apache_kudu,https://github.com/apache/kudu,46.24,99.39,33.22,6.1,0.002,0.001,0.0,0.0,0.06,0.7,0.25,2.09
dfranx_ImFileDialog,https://github.com/dfranx/ImFileDialog,46.24,94.29,40.84,3.59,0.03,0.003,0.001,0.002,0.03,0.84,0.06,0.0
PardCode_CPP-3D-Game-Tutorial-Series,https://github.com/PardCode/CPP-3D-Game-Tutorial-Series,46.2,98.34,36.91,3.35,0.018,0.004,0.0,0.0,0.04,0.45,0.07,1.3
PRBonn_semantic_suma,https://github.com/PRBonn/semantic_suma,46.17,97.63,35.9,4.99,0.02,0.006,0.0,0.001,0.05,0.64,0.18,1.81
linkingvision_rapidonvif,https://github.com/linkingvision/rapidonvif,46.13,97.39,39.5,1.51,0.034,0.001,0.0,0.0,0.02,0.08,0.06,1.7
joeriedel_RadiantUI,https://github.com/joeriedel/RadiantUI,46.12,98.69,39.03,0.65,0.016,0.001,0.0,0.0,0.01,0.04,0.02,1.06
MCUdude_MightyCore,https://github.com/MCUdude/MightyCore,46.12,97.55,38.97,1.85,0.021,0.006,0.0,0.001,0.02,0.21,0.07,1.89
copperspice_copperspice,https://github.com/copperspice/copperspice,46.09,98.2,37.83,2.24,0.021,0.002,0.0,0.0,0.03,0.29,0.03,1.6
chriskohlhoff_asio,https://github.com/chriskohlhoff/asio,46.09,99.05,33.58,5.65,0.007,0.004,0.0,0.0,0.05,0.79,0.23,1.34
scantailor_scantailor,https://github.com/scantailor/scantailor,46.09,98.86,35.77,3.65,0.01,0.001,0.0,0.0,0.04,0.5,0.1,2.17
ldiqual_tesseract-ios-lib,https://github.com/ldiqual/tesseract-ios-lib,46.03,98.72,38.79,0.59,0.014,0.002,0.0,0.0,0.01,0.04,0.01,1.28
NVIDIA-Merlin_HugeCTR,https://github.com/NVIDIA-Merlin/HugeCTR,45.98,98.78,35.37,3.79,0.008,0.004,0.0,0.0,0.03,0.64,0.15,2.34
