repository_owner,repository_uri,overall_score,quality_score,maintainability_score,popularity_score,style_errors_per_nloc,security_notes_per_nloc,security_warnings_per_nloc,security_errors_per_nloc,subscribers_count_by_age,stargazers_count_by_age,forks_count_by_age,average_cyclomatic_complexity_for_repo_pct
google_woff2,https://github.com/google/woff2,44.76,97.92,34.3,2.07,0.008,0.016,0.0,0.0,0.02,0.35,0.06,3.19
mpromonet_webrtc-streamer,https://github.com/mpromonet/webrtc-streamer,44.76,93.21,36.81,4.26,0.049,0.007,0.001,0.0,0.04,0.59,0.16,1.72
JasonFerrara_jmtpfs,https://github.com/JasonFerrara/jmtpfs,44.76,96.49,37.78,0.0,0.047,0.004,0.0,0.0,0.0,0.03,0.0,1.15
ReadyTalk_avian,https://github.com/ReadyTalk/avian,44.76,98.15,33.65,2.48,0.006,0.02,0.0,0.0,0.03,0.34,0.05,1.51
Gasparila_TCPTuner,https://github.com/Gasparila/TCPTuner,44.74,98.53,35.09,0.61,0.011,0.0,0.0,0.001,0.01,0.05,0.01,1.94
CaoWGG_TensorRT-YOLOv4,https://github.com/CaoWGG/TensorRT-YOLOv4,44.73,98.46,33.08,2.63,0.014,0.002,0.0,0.0,0.02,0.42,0.12,2.55
FedoraQt_adwaita-qt,https://github.com/FedoraQt/adwaita-qt,44.72,99.16,34.77,0.24,0.005,0.0,0.0,0.0,0.0,0.11,0.01,2.6
redorav_hlslpp,https://github.com/redorav/hlslpp,44.72,97.6,35.78,0.78,0.034,0.001,0.0,0.0,0.01,0.13,0.01,0.68
ArthurSonzogni_Diagon,https://github.com/ArthurSonzogni/Diagon,44.71,99.06,33.54,1.53,0.007,0.0,0.0,0.0,0.01,0.49,0.01,2.43
chipsalliance_dromajo,https://github.com/chipsalliance/dromajo,44.67,97.71,34.71,1.59,0.005,0.011,0.0,0.002,0.02,0.15,0.05,3.0
scipr-lab_libsnark,https://github.com/scipr-lab/libsnark,44.65,97.27,33.1,3.57,0.026,0.012,0.0,0.0,0.03,0.5,0.16,1.74
chenluyong_OEasyScreenshot,https://github.com/chenluyong/OEasyScreenshot,44.63,98.37,34.39,1.12,0.02,0.001,0.0,0.0,0.01,0.13,0.06,1.36
adafruit_Adafruit-Thermal-Printer-Library,https://github.com/adafruit/Adafruit-Thermal-Printer-Library,44.63,98.37,34.56,0.94,0.01,0.009,0.0,0.0,0.01,0.08,0.05,2.28
racklin_moedict-desktop,https://github.com/racklin/moedict-desktop,44.63,96.48,37.39,0.02,0.047,0.001,0.0,0.0,0.0,0.04,0.0,2.04
BehaviorTree_Groot,https://github.com/BehaviorTree/Groot,44.62,96.11,35.61,2.14,0.052,0.002,0.0,0.0,0.02,0.28,0.09,1.98
casadi_casadi,https://github.com/casadi/casadi,44.62,97.11,35.29,1.46,0.027,0.005,0.0,0.0,0.01,0.26,0.07,4.21
nuvie_nuvie,https://github.com/nuvie/nuvie,44.62,95.6,37.65,0.61,0.055,0.006,0.0,0.0,0.01,0.05,0.01,2.43
stackos_Viry3D,https://github.com/stackos/Viry3D,44.61,98.29,33.97,1.56,0.014,0.004,0.0,0.0,0.02,0.2,0.03,2.83
holalula_ChocoboDecorator,https://github.com/holalula/ChocoboDecorator,44.61,97.55,34.97,1.31,0.029,0.001,0.0,0.0,0.01,0.19,0.07,2.53
qtproject_installer-framework,https://github.com/qtproject/installer-framework,44.6,98.51,34.57,0.72,0.01,0.005,0.0,0.0,0.01,0.04,0.03,2.77
accellera-official_systemc,https://github.com/accellera-official/systemc,44.6,97.32,34.25,2.24,0.028,0.008,0.0,0.0,0.03,0.19,0.06,2.0
google_kati,https://github.com/google/kati,44.6,94.87,36.99,1.92,0.007,0.017,0.001,0.001,0.02,0.31,0.05,2.34
RMonica_rviz_cloud_annotation,https://github.com/RMonica/rviz_cloud_annotation,44.59,98.97,34.46,0.33,0.006,0.004,0.0,0.0,0.0,0.09,0.03,2.06
LukasBanana_XShaderCompiler,https://github.com/LukasBanana/XShaderCompiler,44.58,99.11,33.8,0.84,0.007,0.0,0.0,0.0,0.01,0.13,0.02,2.17
OpenFodder_openfodder,https://github.com/OpenFodder/openfodder,44.58,99.08,33.95,0.71,0.006,0.001,0.0,0.0,0.01,0.1,0.01,2.34
xcfem_xc,https://github.com/xcfem/xc,44.57,96.21,36.91,0.59,0.05,0.003,0.0,0.0,0.01,0.04,0.01,1.83
bewuethr_stroustrup-ppp,https://github.com/bewuethr/stroustrup-ppp,44.57,97.67,35.13,0.92,0.027,0.003,0.0,0.0,0.01,0.1,0.04,2.02
Dobiasd_frugally-deep,https://github.com/Dobiasd/frugally-deep,44.57,98.54,32.78,2.41,0.017,0.0,0.0,0.0,0.02,0.41,0.09,1.79
j0sh_crtmpserver,https://github.com/j0sh/crtmpserver,44.57,97.95,34.78,0.97,0.016,0.003,0.0,0.001,0.01,0.09,0.05,2.36
AngoraFuzzer_libdft64,https://github.com/AngoraFuzzer/libdft64,44.55,98.43,34.37,0.85,0.013,0.004,0.0,0.0,0.01,0.1,0.03,2.49
mandiant_flare-wmi,https://github.com/mandiant/flare-wmi,44.53,97.43,34.11,2.04,0.026,0.011,0.0,0.0,0.03,0.16,0.04,1.23
nccgroup_SocksOverRDP,https://github.com/nccgroup/SocksOverRDP,44.53,91.22,37.27,5.08,0.088,0.051,0.0,0.0,0.03,1.06,0.21,0.57
netheril96_securefs,https://github.com/netheril96/securefs,44.52,97.45,35.05,1.05,0.029,0.004,0.0,0.0,0.01,0.23,0.02,2.15
saurabhshri_CCAligner,https://github.com/saurabhshri/CCAligner,44.52,98.76,34.09,0.72,0.008,0.006,0.0,0.0,0.01,0.07,0.02,1.85
mjwybrow_dunnart,https://github.com/mjwybrow/dunnart,44.5,96.91,36.59,0.0,0.029,0.007,0.0,0.001,0.0,0.03,0.0,2.19
aperrault_DetectText,https://github.com/aperrault/DetectText,44.49,97.17,35.41,0.9,0.039,0.001,0.0,0.0,0.01,0.09,0.04,1.21
bablosoft_BAS,https://github.com/bablosoft/BAS,44.49,95.93,36.02,1.53,0.055,0.003,0.0,0.0,0.02,0.12,0.05,1.62
martinmoene_optional-lite,https://github.com/martinmoene/optional-lite,44.49,98.85,33.77,0.84,0.014,0.0,0.0,0.0,0.01,0.13,0.02,1.19
MirrorYuChen_mnn_example,https://github.com/MirrorYuChen/mnn_example,44.49,97.28,34.78,1.41,0.025,0.007,0.0,0.001,0.01,0.24,0.07,1.66
AD-Vega_rtl-power-fftw,https://github.com/AD-Vega/rtl-power-fftw,44.49,96.38,36.49,0.61,0.04,0.007,0.0,0.0,0.01,0.05,0.01,3.09
xtensor-stack_xtl,https://github.com/xtensor-stack/xtl,44.48,99.0,33.55,0.9,0.01,0.002,0.0,0.0,0.01,0.09,0.04,1.15
corax89_esp8266_game_engine,https://github.com/corax89/esp8266_game_engine,44.48,96.78,35.74,0.9,0.043,0.0,0.0,0.0,0.01,0.16,0.02,2.15
tgockel_json-voorhees,https://github.com/tgockel/json-voorhees,44.47,98.73,34.56,0.11,0.014,0.001,0.0,0.0,0.0,0.05,0.01,1.49
wy1iu_LargeMargin_Softmax_Loss,https://github.com/wy1iu/LargeMargin_Softmax_Loss,44.46,98.92,33.18,1.27,0.007,0.002,0.0,0.0,0.01,0.17,0.07,2.53
sony_easyhttpcpp,https://github.com/sony/easyhttpcpp,44.46,99.03,33.1,1.24,0.007,0.005,0.0,0.0,0.02,0.08,0.02,1.11
ValeevGroup_tiledarray,https://github.com/ValeevGroup/tiledarray,44.46,99.29,33.47,0.63,0.003,0.0,0.0,0.0,0.01,0.06,0.01,2.6
lanmessenger_lanmessenger,https://github.com/lanmessenger/lanmessenger,44.46,97.93,34.68,0.76,0.022,0.003,0.0,0.0,0.01,0.09,0.02,2.32
button-chen_buttonrpc_cpp14,https://github.com/button-chen/buttonrpc_cpp14,44.45,96.82,35.16,1.38,0.026,0.011,0.0,0.002,0.01,0.19,0.08,0.62
hanpfei_chromium-net,https://github.com/hanpfei/chromium-net,44.45,98.55,33.9,0.89,0.013,0.003,0.0,0.0,0.01,0.12,0.03,2.17
asantoni_libaudiodecoder,https://github.com/asantoni/libaudiodecoder,44.43,95.96,37.28,0.07,0.042,0.016,0.0,0.0,0.0,0.03,0.01,1.96
vietanhdev_open-adas,https://github.com/vietanhdev/open-adas,44.42,98.0,33.11,2.16,0.02,0.003,0.0,0.0,0.02,0.26,0.1,2.64
mathertel_Radio,https://github.com/mathertel/Radio,44.42,98.39,34.05,0.81,0.005,0.009,0.0,0.001,0.01,0.08,0.03,2.0
OpenImageDebugger_OpenImageDebugger,https://github.com/OpenImageDebugger/OpenImageDebugger,44.42,99.18,33.2,0.89,0.004,0.002,0.0,0.0,0.01,0.12,0.03,2.21
Reactive-Extensions_LevelDB,https://github.com/Reactive-Extensions/LevelDB,44.41,97.77,34.87,0.59,0.014,0.015,0.0,0.0,0.01,0.04,0.01,2.28
vslavik_diff-pdf,https://github.com/vslavik/diff-pdf,44.41,99.05,32.96,1.23,0.004,0.008,0.0,0.0,0.01,0.28,0.03,1.13
p4lang_PI,https://github.com/p4lang/PI,44.39,98.27,33.0,1.9,0.006,0.009,0.0,0.001,0.03,0.06,0.05,2.28
smrtnt_Open-Home-Automation,https://github.com/smrtnt/Open-Home-Automation,44.38,97.81,31.44,3.9,0.018,0.0,0.0,0.0,0.05,0.41,0.09,5.11
jaegertracing_jaeger-client-cpp,https://github.com/jaegertracing/jaeger-client-cpp,44.38,97.71,34.29,1.15,0.019,0.012,0.0,0.0,0.01,0.08,0.08,1.83
IAPOLINARIO_100-days-of-code,https://github.com/IAPOLINARIO/100-days-of-code,44.38,98.18,32.12,2.83,0.013,0.002,0.0,0.0,0.03,0.41,0.08,4.28
openvanilla_McBopomofo,https://github.com/openvanilla/McBopomofo,44.37,96.63,35.7,0.78,0.042,0.003,0.0,0.0,0.01,0.1,0.02,2.34
skeeto_pixelcity,https://github.com/skeeto/pixelcity,44.36,98.39,34.03,0.67,0.013,0.001,0.0,0.001,0.01,0.08,0.01,1.7
nikolaseu_neuvision,https://github.com/nikolaseu/neuvision,44.35,99.18,33.01,0.85,0.003,0.002,0.0,0.0,0.01,0.1,0.03,2.57
orfeasel_PortfolioSnippets,https://github.com/orfeasel/PortfolioSnippets,44.34,96.7,35.59,0.75,0.044,0.0,0.0,0.0,0.01,0.05,0.03,2.23
choasup_caffe-yolo9000,https://github.com/choasup/caffe-yolo9000,44.33,98.89,32.92,1.17,0.007,0.002,0.0,0.0,0.01,0.09,0.08,2.72
lukewagner_polyfill-prototype-1,https://github.com/lukewagner/polyfill-prototype-1,44.33,98.42,33.29,1.28,0.008,0.004,0.0,0.001,0.02,0.1,0.02,2.3
matyhtf_phpx,https://github.com/matyhtf/phpx,44.33,97.76,31.89,3.34,0.017,0.012,0.0,0.0,0.04,0.48,0.06,2.21
ludios_qolibri,https://github.com/ludios/qolibri,44.32,98.37,33.92,0.67,0.016,0.002,0.0,0.0,0.01,0.08,0.01,2.36
thejohnfreeman_autocheck,https://github.com/thejohnfreeman/autocheck,44.31,96.87,36.04,0.02,0.044,0.0,0.0,0.0,0.0,0.04,0.0,1.34
hyperblast_beefweb,https://github.com/hyperblast/beefweb,44.3,97.44,35.27,0.2,0.026,0.002,0.0,0.001,0.0,0.09,0.01,1.96
klmr_named-operator,https://github.com/klmr/named-operator,44.3,96.16,35.95,0.8,0.055,0.0,0.0,0.0,0.01,0.14,0.01,1.32
reaper-oss_sws,https://github.com/reaper-oss/sws,44.29,93.62,37.89,1.37,0.067,0.011,0.0,0.002,0.02,0.11,0.03,3.32
CS144_sponge,https://github.com/CS144/sponge,44.27,96.35,31.81,4.65,0.037,0.015,0.0,0.0,0.01,0.35,0.51,1.91
lizhangqu_PinyinIME,https://github.com/lizhangqu/PinyinIME,44.27,97.94,34.41,0.45,0.005,0.016,0.0,0.0,0.0,0.08,0.05,4.06
gadgetron_gadgetron,https://github.com/gadgetron/gadgetron,44.25,96.52,34.73,1.49,0.04,0.005,0.0,0.0,0.02,0.07,0.06,2.94
uzh-rpg_fault_tolerant_control,https://github.com/uzh-rpg/fault_tolerant_control,44.25,98.46,30.27,4.01,0.015,0.001,0.0,0.0,0.06,0.29,0.07,2.53
akuukka_quickhull,https://github.com/akuukka/quickhull,44.24,96.95,35.61,0.15,0.039,0.001,0.0,0.0,0.0,0.07,0.01,2.3
alumae_gst-kaldi-nnet2-online,https://github.com/alumae/gst-kaldi-nnet2-online,44.24,98.96,32.92,0.85,0.006,0.001,0.0,0.0,0.01,0.07,0.04,2.98
YCAMInterlab_RAMDanceToolkit,https://github.com/YCAMInterlab/RAMDanceToolkit,44.22,96.97,35.11,0.57,0.04,0.002,0.0,0.0,0.01,0.03,0.01,1.57
aws_aws-iot-device-sdk-cpp,https://github.com/aws/aws-iot-device-sdk-cpp,44.21,98.75,32.42,1.47,0.011,0.002,0.0,0.0,0.02,0.06,0.06,2.11
easymodo_qimgv,https://github.com/easymodo/qimgv,44.2,94.58,36.53,1.5,0.077,0.001,0.0,0.0,0.01,0.41,0.03,1.83
vjeux_jspp,https://github.com/vjeux/jspp,44.2,96.29,36.31,0.0,0.042,0.0,0.0,0.001,0.0,0.03,0.0,3.09
shichaog_WebRTC-audio-processing,https://github.com/shichaog/WebRTC-audio-processing,44.17,98.08,33.17,1.25,0.012,0.01,0.0,0.0,0.01,0.16,0.07,2.83
kangwang1988_XcodeZombieCode,https://github.com/kangwang1988/XcodeZombieCode,44.14,98.09,33.51,0.82,0.021,0.0,0.0,0.0,0.01,0.12,0.02,2.74
yunchih_ORB-SLAM2-GPU2016-final,https://github.com/yunchih/ORB-SLAM2-GPU2016-final,44.13,95.36,35.83,1.21,0.061,0.003,0.0,0.0,0.01,0.14,0.07,2.51
danxuhk_StructuredAttentionDepthEstimation,https://github.com/danxuhk/StructuredAttentionDepthEstimation,44.11,98.9,32.78,0.67,0.007,0.002,0.0,0.0,0.01,0.08,0.01,2.66
joel16_NX-Shell,https://github.com/joel16/NX-Shell,44.11,98.34,30.65,3.35,0.005,0.004,0.0,0.001,0.04,0.55,0.04,3.7
martinmoene_variant-lite,https://github.com/martinmoene/variant-lite,44.11,98.45,33.64,0.24,0.018,0.001,0.0,0.0,0.0,0.11,0.01,1.62
a1928370421_Bongobs-Cat-Plugin,https://github.com/a1928370421/Bongobs-Cat-Plugin,44.1,98.84,32.09,1.37,0.005,0.005,0.0,0.0,0.01,0.25,0.06,2.74
ColorCop_ColorCop,https://github.com/ColorCop/ColorCop,44.09,95.02,36.52,0.74,0.022,0.0,0.001,0.001,0.01,0.08,0.02,1.64
vgmtrans_vgmtrans,https://github.com/vgmtrans/vgmtrans,44.08,95.99,35.36,0.9,0.052,0.002,0.0,0.0,0.01,0.16,0.02,2.6
czyt1988_czyBlog,https://github.com/czyt1988/czyBlog,44.08,94.54,34.87,2.84,0.07,0.005,0.0,0.001,0.01,0.17,0.3,1.32
martinjanas_Sensum,https://github.com/martinjanas/Sensum,44.08,97.54,32.9,1.78,0.025,0.001,0.0,0.0,0.02,0.21,0.06,3.87
danini_graph-cut-ransac,https://github.com/danini/graph-cut-ransac,44.07,97.24,33.94,1.04,0.029,0.007,0.0,0.0,0.01,0.16,0.04,2.38
kwin_macdependency,https://github.com/kwin/macdependency,44.05,90.63,40.67,0.84,0.049,0.005,0.002,0.0,0.01,0.13,0.02,0.91
cyberman54_ESP32-Paxcounter,https://github.com/cyberman54/ESP32-Paxcounter,44.04,96.29,31.01,4.8,0.029,0.008,0.0,0.001,0.04,0.69,0.21,4.98
sdllc_Basic-Excel-R-Toolkit,https://github.com/sdllc/Basic-Excel-R-Toolkit,44.03,97.16,34.3,0.63,0.034,0.002,0.0,0.0,0.01,0.06,0.01,2.57
hpi-xnor_BMXNet,https://github.com/hpi-xnor/BMXNet,44.01,98.61,31.64,1.78,0.011,0.001,0.0,0.0,0.02,0.21,0.06,3.09
stephane-caron_lipm_walking_controller,https://github.com/stephane-caron/lipm_walking_controller,44.01,97.99,33.13,0.9,0.026,0.0,0.0,0.0,0.01,0.09,0.04,1.6
CasualX_apexbot,https://github.com/CasualX/apexbot,44.0,96.52,34.01,1.47,0.018,0.028,0.0,0.0,0.01,0.2,0.09,3.45
jonnydee_nzmqt,https://github.com/jonnydee/nzmqt,44.0,98.31,33.03,0.68,0.02,0.005,0.0,0.0,0.01,0.05,0.02,0.53
Rinnegatamante_DaedalusX64-vitaGL,https://github.com/Rinnegatamante/DaedalusX64-vitaGL,43.99,93.37,35.42,3.17,0.052,0.009,0.0,0.006,0.04,0.4,0.06,2.74
nRF24_RF24,https://github.com/nRF24/RF24,43.99,94.58,31.5,5.88,0.021,0.037,0.0,0.002,0.05,0.64,0.31,5.96
faheel_BigInt,https://github.com/faheel/BigInt,43.97,97.66,33.15,1.12,0.03,0.001,0.0,0.0,0.01,0.13,0.06,1.68
johnnian_Blog,https://github.com/johnnian/Blog,43.95,99.29,31.67,0.89,0.005,0.0,0.0,0.001,0.01,0.12,0.03,0.11
mihaibujanca_dynamicfusion,https://github.com/mihaibujanca/dynamicfusion,43.92,96.16,34.37,1.22,0.034,0.004,0.0,0.003,0.01,0.18,0.06,1.55
briankendall_devreorder,https://github.com/briankendall/devreorder,43.91,97.07,33.96,0.69,0.035,0.003,0.0,0.0,0.01,0.09,0.01,2.43
MishkaRogachev_JAGCS,https://github.com/MishkaRogachev/JAGCS,43.9,96.47,34.54,0.7,0.048,0.001,0.0,0.0,0.01,0.06,0.02,1.77
adafruit_RadioHead,https://github.com/adafruit/RadioHead,43.9,95.42,35.32,0.94,0.01,0.01,0.001,0.0,0.01,0.08,0.05,2.45
KyujuuAlpha_iBox-2,https://github.com/KyujuuAlpha/iBox-2,43.89,97.08,33.83,0.77,0.021,0.01,0.0,0.001,0.01,0.06,0.03,3.06
0ldsk00l_nestopia,https://github.com/0ldsk00l/nestopia,43.88,93.28,37.38,0.98,0.095,0.004,0.0,0.0,0.01,0.13,0.04,1.6
meshula_OpenSteer,https://github.com/meshula/OpenSteer,43.84,98.95,31.91,0.67,0.003,0.005,0.0,0.0,0.01,0.08,0.01,2.83
xbpeng_DeepLoco,https://github.com/xbpeng/DeepLoco,43.84,96.67,33.94,0.92,0.043,0.004,0.0,0.0,0.01,0.1,0.04,1.51
nobleo_full_coverage_path_planner,https://github.com/nobleo/full_coverage_path_planner,43.82,99.17,29.53,2.76,0.003,0.0,0.0,0.0,0.02,0.45,0.13,3.19
Parchive_par2cmdline,https://github.com/Parchive/par2cmdline,43.8,96.06,34.49,0.84,0.004,0.005,0.001,0.0,0.01,0.13,0.02,2.66
limingfan2016_game_service_system,https://github.com/limingfan2016/game_service_system,43.79,93.83,34.01,3.52,0.066,0.017,0.0,0.001,0.03,0.38,0.19,2.68
bbc_bbc-vamp-plugins,https://github.com/bbc/bbc-vamp-plugins,43.75,98.73,31.49,1.02,0.008,0.0,0.0,0.0,0.02,0.04,0.0,3.74
nitram2342_degate,https://github.com/nitram2342/degate,43.72,95.67,34.9,0.59,0.058,0.002,0.0,0.0,0.01,0.04,0.01,2.23
hpi-xnor_BMXNet-v2,https://github.com/hpi-xnor/BMXNet-v2,43.71,98.64,31.46,1.02,0.009,0.001,0.0,0.0,0.01,0.18,0.03,3.57
boostorg_leaf,https://github.com/boostorg/leaf,43.71,98.46,31.66,1.02,0.019,0.001,0.0,0.0,0.01,0.18,0.03,1.23
BoredEngineer_MMT_Content,https://github.com/BoredEngineer/MMT_Content,43.7,95.93,33.95,1.22,0.059,0.0,0.0,0.0,0.02,0.07,0.02,1.19
alexbaucom17_DominoRobot,https://github.com/alexbaucom17/DominoRobot,43.7,95.37,34.51,1.22,0.048,0.014,0.0,0.001,0.01,0.31,0.02,1.68
huxingyi_dust3d,https://github.com/huxingyi/dust3d,43.69,96.9,28.55,5.61,0.031,0.003,0.0,0.0,0.05,1.23,0.09,4.55
bruderstein_NppTidy2,https://github.com/bruderstein/NppTidy2,43.67,97.01,33.94,0.07,0.029,0.004,0.0,0.001,0.0,0.03,0.01,2.57
hydro-project_anna,https://github.com/hydro-project/anna,43.66,98.49,28.3,4.19,0.006,0.0,0.0,0.0,0.05,0.52,0.1,5.62
ebruneton_precomputed_atmospheric_scattering,https://github.com/ebruneton/precomputed_atmospheric_scattering,43.64,99.38,29.03,2.5,0.002,0.001,0.0,0.0,0.03,0.35,0.05,2.17
oprecomp_FloatX,https://github.com/oprecomp/FloatX,43.63,99.77,30.43,0.69,0.0,0.002,0.0,0.0,0.01,0.09,0.01,0.57
DmitryKoterov_dklab_realplexor,https://github.com/DmitryKoterov/dklab_realplexor,43.62,96.21,34.1,0.57,0.036,0.002,0.0,0.002,0.01,0.03,0.01,3.06
GrokImageCompression_grok,https://github.com/GrokImageCompression/grok,43.61,97.04,33.11,0.68,0.024,0.007,0.0,0.001,0.01,0.05,0.02,3.17
mtrebi_AI_FPS,https://github.com/mtrebi/AI_FPS,43.6,95.47,34.64,0.7,0.059,0.003,0.0,0.0,0.01,0.06,0.02,2.6
cachelot_cachelot,https://github.com/cachelot/cachelot,43.6,98.09,31.95,0.75,0.017,0.008,0.0,0.0,0.01,0.12,0.01,1.72
GabrielDosReis_ipr,https://github.com/GabrielDosReis/ipr,43.6,97.28,32.86,0.65,0.038,0.003,0.0,0.0,0.01,0.07,0.01,0.38
WohlSoft_Moondust-Project,https://github.com/WohlSoft/Moondust-Project,43.56,95.73,34.31,0.65,0.053,0.005,0.0,0.0,0.01,0.07,0.01,2.7
gwsystems_composite,https://github.com/gwsystems/composite,43.56,97.35,32.68,0.65,0.019,0.004,0.0,0.001,0.01,0.04,0.02,4.11
wangwenx190_framelesshelper,https://github.com/wangwenx190/framelesshelper,43.55,98.49,29.46,2.71,0.002,0.0,0.0,0.0,0.02,0.49,0.11,6.89
Autodesk_animx,https://github.com/Autodesk/animx,43.54,97.65,31.76,1.21,0.024,0.0,0.0,0.0,0.02,0.1,0.01,3.96
OpenMined_TenSEAL,https://github.com/OpenMined/TenSEAL,43.53,98.64,28.83,3.11,0.016,0.0,0.0,0.0,0.03,0.51,0.09,1.6
WojciechMula_sse4-strstr,https://github.com/WojciechMula/sse4-strstr,43.53,97.74,32.25,0.61,0.01,0.014,0.0,0.0,0.01,0.05,0.01,3.98
rusty1s_pytorch_cluster,https://github.com/rusty1s/pytorch_cluster,43.51,97.34,31.69,1.51,0.015,0.002,0.0,0.0,0.01,0.32,0.06,7.87
sharkdp_dbg-macro,https://github.com/sharkdp/dbg-macro,43.5,99.31,23.51,7.67,0.006,0.0,0.0,0.0,0.05,1.99,0.16,1.51
Celtoys_clReflect,https://github.com/Celtoys/clReflect,43.48,96.59,33.68,0.17,0.031,0.009,0.0,0.001,0.0,0.08,0.01,2.57
dfct_TrueFramelessWindow,https://github.com/dfct/TrueFramelessWindow,43.48,98.32,31.38,0.74,0.021,0.0,0.0,0.0,0.01,0.08,0.02,1.6
wavii_darner,https://github.com/wavii/darner,43.47,95.69,32.63,2.09,0.038,0.017,0.0,0.001,0.03,0.25,0.02,2.49
mariusbancila_stduuid,https://github.com/mariusbancila/stduuid,43.44,97.68,31.45,1.19,0.031,0.001,0.0,0.0,0.01,0.23,0.04,1.26
tomtom-international_cpp-dependencies,https://github.com/tomtom-international/cpp-dependencies,43.4,97.35,30.96,1.9,0.024,0.008,0.0,0.0,0.02,0.33,0.04,3.15
CNugteren_CLBlast,https://github.com/CNugteren/CLBlast,43.36,97.73,30.45,1.89,0.016,0.005,0.0,0.0,0.02,0.26,0.06,4.72
toby20130333_QtQuickExample,https://github.com/toby20130333/QtQuickExample,43.35,95.71,32.23,2.1,0.062,0.0,0.0,0.0,0.02,0.23,0.1,1.34
NASA-Tensegrity-Robotics-Toolkit_NTRTsim,https://github.com/NASA-Tensegrity-Robotics-Toolkit/NTRTsim,43.34,97.72,31.04,1.25,0.028,0.001,0.0,0.0,0.02,0.05,0.03,2.0
alxli_algorithm-anthology,https://github.com/alxli/algorithm-anthology,43.34,98.17,31.16,0.7,0.012,0.001,0.0,0.0,0.01,0.06,0.02,4.94
ermig1979_AntiDupl,https://github.com/ermig1979/AntiDupl,43.33,98.03,29.87,2.08,0.013,0.002,0.0,0.0,0.02,0.42,0.04,5.06
andrejnau_FlyCube,https://github.com/andrejnau/FlyCube,43.33,98.4,31.26,0.34,0.015,0.001,0.0,0.0,0.0,0.16,0.01,2.85
Bareflank_MicroV,https://github.com/Bareflank/MicroV,43.32,97.54,30.24,2.18,0.031,0.002,0.0,0.0,0.03,0.23,0.04,1.66
ydsf16_dre_slam,https://github.com/ydsf16/dre_slam,43.32,97.01,31.92,1.03,0.035,0.003,0.0,0.0,0.01,0.12,0.05,2.74
LeFroid_Viper-Browser,https://github.com/LeFroid/Viper-Browser,43.31,98.02,31.77,0.15,0.019,0.002,0.0,0.0,0.0,0.07,0.01,3.15
nvpro-samples_gl_vk_threaded_cadscene,https://github.com/nvpro-samples/gl_vk_threaded_cadscene,43.3,96.6,32.66,0.65,0.042,0.001,0.0,0.0,0.01,0.07,0.01,3.06
retf_Boost.Application,https://github.com/retf/Boost.Application,43.29,93.91,35.39,0.59,0.044,0.002,0.001,0.0,0.01,0.04,0.01,1.3
sprinfall_boost-asio-study,https://github.com/sprinfall/boost-asio-study,43.29,97.77,31.27,0.83,0.022,0.006,0.0,0.0,0.01,0.09,0.03,2.3
chaeplin_esp8266_and_arduino,https://github.com/chaeplin/esp8266_and_arduino,43.27,96.39,32.05,1.37,0.052,0.0,0.0,0.0,0.02,0.11,0.03,1.15
liu-jianhao_Cpp-Design-Patterns,https://github.com/liu-jianhao/Cpp-Design-Patterns,43.24,84.12,40.08,5.53,0.242,0.001,0.0,0.0,0.03,0.88,0.33,0.53
bcgsc_abyss,https://github.com/bcgsc/abyss,43.24,97.03,31.93,0.77,0.032,0.004,0.0,0.0,0.01,0.06,0.03,3.28
mithi_mpc,https://github.com/mithi/mpc,43.23,97.55,31.36,0.77,0.028,0.001,0.0,0.0,0.01,0.06,0.03,2.89
StarGate01_AmongUs-Mumble,https://github.com/StarGate01/AmongUs-Mumble,43.23,93.98,34.07,1.64,0.076,0.002,0.0,0.001,0.02,0.24,0.03,3.04
qsaker_QtSwissArmyKnife,https://github.com/qsaker/QtSwissArmyKnife,43.22,96.21,31.21,2.23,0.05,0.003,0.0,0.0,0.02,0.23,0.12,1.87
dash-project_dash,https://github.com/dash-project/dash,43.21,97.76,31.18,0.7,0.022,0.003,0.0,0.0,0.01,0.06,0.02,3.19
Ashishgup1_Competitive-Coding,https://github.com/Ashishgup1/Competitive-Coding,43.2,93.25,29.63,6.73,0.089,0.0,0.0,0.0,0.03,0.9,0.5,4.87
tomszilagyi_zutty,https://github.com/tomszilagyi/zutty,43.2,94.53,33.1,1.98,0.023,0.005,0.001,0.0,0.02,0.4,0.03,4.15
mit-aera_FlightGoggles,https://github.com/mit-aera/FlightGoggles,43.17,98.84,29.01,1.65,0.01,0.001,0.0,0.0,0.02,0.18,0.05,2.26
Tylemagne_Gopher360,https://github.com/Tylemagne/Gopher360,43.16,97.44,30.77,1.28,0.012,0.017,0.0,0.001,0.01,0.24,0.05,2.17
sultim-t_Serious-Engine-RT,https://github.com/sultim-t/Serious-Engine-RT,43.15,96.01,32.02,1.43,0.044,0.004,0.0,0.001,0.02,0.24,0.0,2.66
kevinlin311tw_caffe-augmentation,https://github.com/kevinlin311tw/caffe-augmentation,43.15,98.8,29.76,0.87,0.005,0.003,0.0,0.0,0.01,0.08,0.04,3.49
mattiasflodin_reckless,https://github.com/mattiasflodin/reckless,43.13,96.01,32.47,0.9,0.048,0.007,0.0,0.0,0.01,0.16,0.02,2.34
carlbirch_BirchEngine,https://github.com/carlbirch/BirchEngine,43.12,93.22,35.39,0.76,0.096,0.003,0.0,0.0,0.01,0.09,0.02,1.85
